GH_LUX,GH_Humidity,GH_Temperature,GH_Pressure,GH_Days
24813.33,2.62,49.56,101.28314,2021-04-27 21:54:04
19805.0,1.42,52.08,101.2716,2021-04-27 22:14:04
24289.17,0.79,53.87,101.26171,2021-04-27 22:34:04
17962.5,0.95,51.76,101.25039,2021-04-27 22:54:04
21440.0,0.74,51.98,101.23675,2021-04-27 23:14:04
18405.83,0.22,53.52,101.22008000000001,2021-04-27 23:34:04
13830.83,0.51,51.63,101.2031,2021-04-27 23:54:04
15217.5,0.92,50.45,101.19325,2021-04-28 00:14:04
14730.0,1.99,48.03,101.17085,2021-04-28 00:34:04
19070.83,2.23,47.03,101.16917,2021-04-28 00:54:04
16456.67,2.54,47.18,101.15821,2021-04-28 01:14:04
105.0,78.81,12.26,102.57986,2021-04-28 20:03:50
47.5,79.89,12.14,102.59339,2021-04-28 20:14:01
0.001,81.84,10.43,102.57449,2021-04-28 23:35:42
0.001,80.25,10.44,102.55447,2021-04-29 00:15:42
0.001,80.96,10.54,102.52905,2021-04-29 00:55:42
0.001,78.19,10.61,102.52313000000001,2021-04-29 01:35:42
0.001,77.93,10.41,102.53938000000001,2021-04-29 02:15:42
0.001,79.73,10.43,102.50471,2021-04-29 02:55:42
0.001,82.19,10.24,102.5026,2021-04-29 03:35:42
0.001,82.46,9.82,102.44138000000001,2021-04-29 04:15:42
0.001,82.72,9.99,102.44146,2021-04-29 04:55:42
1.67,79.56,10.24,102.42769,2021-04-29 05:35:42
133.33,79.4,10.43,102.4111,2021-04-29 06:15:42
581.67,77.8,11.29,102.38564,2021-04-29 06:55:42
1226.67,70.39,13.41,102.40403,2021-04-29 07:35:42
4117.5,54.94,17.49,102.35715,2021-04-29 08:29:39
3646.67,48.37,19.54,102.38996999999999,2021-04-29 09:09:39
5130.83,41.83,21.76,102.36539,2021-04-29 09:49:39
6728.33,35.65,24.1,102.34445,2021-04-29 10:29:39
20955.83,18.47,35.01,102.32714,2021-04-29 11:09:39
11246.67,16.44,34.49,102.28096,2021-04-29 11:49:39
11030.83,17.08,33.51,102.22078,2021-04-29 12:29:39
11580.83,15.5,34.64,102.17128000000001,2021-04-29 13:09:39
10095.0,16.04,34.74,102.11542,2021-04-29 13:49:39
10080.83,15.79,34.33,102.07540999999999,2021-04-29 14:29:39
6660.83,19.15,31.87,102.09964000000001,2021-04-29 15:09:39
6841.67,20.14,31.61,102.05253,2021-04-29 15:49:39
4466.67,23.37,29.66,101.99512,2021-04-29 16:29:39
5261.67,22.35,30.61,101.95924,2021-04-29 17:09:39
3521.67,28.28,26.78,101.94575,2021-04-29 17:49:39
2089.17,31.74,24.36,101.93242,2021-04-29 18:29:39
1180.83,38.83,21.93,101.92566,2021-04-29 19:09:39
247.5,45.65,19.86,101.91001,2021-04-29 19:49:39
12.5,52.53,18.02,101.89421,2021-04-29 20:29:39
0.001,55.4,17.17,101.96016999999999,2021-04-29 21:09:39
0.001,55.8,16.64,102.04475,2021-04-29 21:49:39
0.001,59.05,16.01,102.08078,2021-04-29 22:29:39
0.001,67.97,15.1,102.11125,2021-04-29 23:09:39
0.001,68.52,14.43,102.08538,2021-04-29 23:49:39
0.001,75.12,13.49,102.0658,2021-04-30 00:29:39
0.001,77.87,13.14,102.10694,2021-04-30 01:09:39
0.001,84.88,12.53,102.13013,2021-04-30 01:49:39
0.001,86.27,12.23,102.12722,2021-04-30 02:29:39
0.001,86.91,12.08,102.09982,2021-04-30 03:09:39
0.001,88.93,11.68,102.06729,2021-04-30 03:49:39
0.001,89.15,11.74,102.06294,2021-04-30 04:29:39
0.001,88.25,11.54,102.03085,2021-04-30 05:09:39
7.5,87.75,11.44,102.05988,2021-04-30 05:49:39
79.17,88.47,11.36,102.02644,2021-04-30 06:29:39
255.83,87.97,11.63,102.07021,2021-04-30 07:09:39
488.33,86.49,11.93,102.07347,2021-04-30 07:49:39
787.5,84.33,12.53,102.06213,2021-04-30 08:29:39
2028.33,74.14,15.19,102.05020999999999,2021-04-30 09:09:39
2141.67,74.47,15.44,102.04264,2021-04-30 09:49:39
1790.0,71.68,15.62,102.05659,2021-04-30 10:29:39
3099.17,63.97,18.16,102.03797,2021-04-30 11:09:39
